"(PDH-CSV 4.0) (GTB Daylight Time)(-180)","\\FOTIS\Memory\% Committed Bytes In Use","\\FOTIS\Processor(_Total)\% Processor Time"
"06/17/2025 22:57:57.230","43.203327838145973772"," "
"06/17/2025 22:58:07.246","55.772912352293012361","18.23320345422787625"
"06/17/2025 22:58:17.239","55.448017468547448061","17.307490844848295808"
"06/17/2025 22:58:27.559","55.699544669058994373","64.19254039912357257"
"06/17/2025 22:58:37.268","55.63272928251715399","92.878425282949763186"
"06/17/2025 22:58:47.253","55.12945201600189904","92.586873681901593613"
"06/17/2025 22:58:57.243","55.966739392831634348","52.294065700605209202"
"06/17/2025 22:59:07.252","55.731347728458082713","14.335682577823105177"
"06/17/2025 22:59:17.245","55.61728462474822976","11.047789155721687848"
"06/17/2025 22:59:27.230","55.686373253279917606","8.907529893596400683"
"06/17/2025 22:59:37.247","55.674405315815100437","8.0095685248147248103"
"06/17/2025 22:59:47.233","55.660008139829152185","9.0763547874607493071"
"06/17/2025 22:59:57.237","55.705383782206432386","9.6246022817164327279"
"06/17/2025 23:00:07.252","56.019893045541799381","17.506744267951368954"
"06/17/2025 23:00:17.250","56.049422886234111729","8.3767809359420191129"
"06/17/2025 23:00:27.243","55.958493323055677138","8.0424201245099631308"
"06/17/2025 23:00:37.244","55.85191854179183224","7.818446632007769459"
"06/17/2025 23:00:47.229","55.875787547760594975","9.6153535127025850926"
"06/17/2025 23:00:57.230","55.849912729079356666","9.3999244224991294061"
"06/17/2025 23:01:07.237","55.674895633867684808","9.596455364639144392"
"06/17/2025 23:01:17.245","55.66702844939823791","7.6888306984948968648"
"06/17/2025 23:01:27.243","55.669702835304121891","9.1072073080604489803"
"06/17/2025 23:01:37.237","55.595198542716730117","8.3634214102286552617"
"06/17/2025 23:01:47.245","55.595666578876709707","8.2966917488834557304"
"06/17/2025 23:01:57.233","55.59546599527715216","8.9926754664153012442"
"06/17/2025 23:02:07.248","55.605517270882963032","9.8769643637384838541"
"06/17/2025 23:02:17.233","55.646390993065750763","9.6891120084557691428"
"06/17/2025 23:02:27.236","55.633620744485789089","8.5241258668693582479"
"06/17/2025 23:02:37.244","55.775898754544527947","10.775254284436464047"
"06/17/2025 23:02:47.231","55.776277616567973894","8.6134567561651600442"
"06/17/2025 23:02:57.236","55.762281607781140735","8.6377646704923431997"
"06/17/2025 23:03:07.252","55.755907612795915895","7.4897542952834683661"
"06/17/2025 23:03:17.246","55.740418391241789209","8.6536546202758302115"
"06/17/2025 23:03:27.245","55.754414423311693838","9.9360923288083213833"
"06/17/2025 23:03:37.235","55.747082097396969402","8.028974892105345873"
"06/17/2025 23:03:47.237","55.722811947512163044","7.9998672049152785846"
"06/17/2025 23:03:57.243","55.716192805142185307","9.5409145955348222401"
"06/17/2025 23:04:07.255","55.716794532657786476","8.9556255236914577011"
"06/17/2025 23:04:17.255","55.714209297605378879","9.0627518961772466355"
"06/17/2025 23:04:27.246","55.64442976742154201","8.4266761676286670024"
"06/17/2025 23:04:37.238","55.630924053404228857","8.4704675876722586025"
"06/17/2025 23:04:47.243","56.311892824320096906","11.508557772460402902"
"06/17/2025 23:04:57.253","56.111847808610612276","8.2872650144577892917"
"06/17/2025 23:05:07.241","56.166650693902433034","9.6824297956495719575"
"06/17/2025 23:05:17.248","55.972489331842510296","9.7903357221612132832"
"06/17/2025 23:05:27.238","55.992235326206362345","8.4604287881274267136"
"06/17/2025 23:05:37.247","56.034624543049048384","10.571955244356068704"
"06/17/2025 23:05:47.240","55.994686846620098208","8.3725324604157371766"
"06/17/2025 23:05:57.249","56.107591035800886914","9.3346662834315257129"
"06/17/2025 23:06:07.236","56.097183180064234875","10.003854954582857673"
"06/17/2025 23:06:17.251","56.086151291636319627","9.2403897150840190733"
"06/17/2025 23:06:27.245","56.055663143297572049","9.8871716931552384722"
"06/17/2025 23:06:37.231","56.03745494876929456","8.6813770263353902124"
"06/17/2025 23:06:47.241","56.049890899111019849","9.0898071321389153354"
"06/17/2025 23:06:57.249","56.059050712748216938","8.9591628357650670011"
"06/17/2025 23:07:07.236","56.065001258641714799","9.4188288026152093835"
"06/17/2025 23:07:17.244","56.05430364516897157","9.4805956673785214406"
"06/17/2025 23:07:27.237","56.042803743864133992","9.2928874418327431783"
"06/17/2025 23:07:37.238","56.003913529218152689","8.7828268151634247829"
"06/17/2025 23:07:47.250","56.003891247325555014","9.1833106800964454663"
"06/17/2025 23:07:57.236","55.996982370502543347","9.0949409457705030491"
"06/17/2025 23:08:07.244","55.984256685707777024","9.4716123009901949104"
"06/17/2025 23:08:17.238","96.505710994011181469","20.615007837943377211"
"06/17/2025 23:08:27.252","96.408856123781021097","18.567195740586260655"
"06/17/2025 23:08:37.297","96.208050031263397273","57.996780826285920796"
"06/17/2025 23:08:47.244","96.241882535685292055","96.679891674116888112"
"06/17/2025 23:08:57.233","96.388652011842623324","98.865876987821607713"
"06/17/2025 23:09:07.244","96.726566831750460551","60.258654858883566874"
"06/17/2025 23:09:17.238","96.69487227143133623","33.264334651082997141"
"06/17/2025 23:09:27.248","96.646441169233625601","13.209578134012623707"
"06/17/2025 23:09:37.233","96.668531884594941062","9.3317829778483467607"
"06/17/2025 23:09:47.233","96.374407037248460028","9.1811765205168320847"
"06/17/2025 23:09:57.233","96.427855337138254299","9.0822328374431045006"
"06/17/2025 23:10:07.243","96.39904380226485614","9.0376751446581202742"
"06/17/2025 23:10:17.255","96.465709106173775922","9.6180605822800977478"
"06/17/2025 23:10:27.248","96.461721532154300007","10.176898994128357856"
